id;nome;cnpj;data_contratacao;email;telefone
1;withdrawal;Rubber Investment Account;2020-09-01;Zion37@hotmail.com;Solutions Car Rand Loti
2;B2C payment Ergonomic Rubber Chicken;HTTP matrix;2020-08-31;Arnulfo_Weissnat27@gmail.com;Cambridgeshire
3;Reactive Cambridgeshire protocol;indexing Baby panel;2020-09-01;Chloe.Steuber47@hotmail.com;IB TCP
4;solid state navigate;mobile synthesizing;2020-09-01;Ruthe_Reynolds@yahoo.com;niches backing up disintermediate
5;compressing;generate back-end;2020-08-31;Piper.Bins91@yahoo.com;Crescent hacking redundant
6;integrate;Salad Bedfordshire SCSI;2020-09-01;Edwina74@hotmail.com;Customer Surinam Dollar Money Market Account
7;scalable hacking Buckinghamshire;Sao Tome and Principe;2020-09-01;Jamel_Harber11@yahoo.com;New Zealand Dollar
8;Computers Granite magenta;Berkshire Paradigm;2020-09-01;Corrine10@gmail.com;Plastic Optimization circuit
9;withdrawal productize;neural Ergonomic;2020-09-01;Cary69@yahoo.com;Concrete
10;Facilitator Swaziland;Mali;2020-08-31;Ewell85@yahoo.com;Executive Berkshire
