id;nome;cnpj;data_contratacao;email;telefone;tipo_servico_prestado
1;deposit Direct;generate;2020-09-09;Kevin.Reynolds56@gmail.com;Avon Human;multi-byte primary robust
2;International Tuna Implemented;Berkshire;2020-09-09;Wava66@yahoo.com;ivory Practical Supervisor;Guam Avon
3;Specialist;B2C plum Specialist;2020-09-08;Kaley.Dicki@yahoo.com;auxiliary reboot;Metrics
4;payment local area network;Product;2020-09-08;Clemmie37@gmail.com;customized Hryvnia;Decentralized bluetooth
5;Beauty payment bandwidth;Multi-channelled Kina lime;2020-09-08;Alysson21@gmail.com;Manor fresh-thinking website;Massachusetts projection
6;Iowa Yemeni Rial;Auto Loan Account Frozen withdrawal;2020-09-09;Sophie78@hotmail.com;Investor Sports;mint green
7;Fiji Dollar Liechtenstein Internal;Gloves Tasty;2020-09-09;Gianni72@gmail.com;invoice;Pants
8;Buckinghamshire;neural Designer;2020-09-09;Uriel_Christiansen86@yahoo.com;deposit;neural Saint Helena Pound
9;Money Market Account hard drive;Home Hat;2020-09-09;Myrtie.Stoltenberg50@yahoo.com;installation;ADP Anguilla
10;Croatia tan;Fundamental Cambridgeshire;2020-09-08;Rowan69@hotmail.com;Grocery input auxiliary;zero defect
